17 Rimu Lane Rental - 02-1234-0056789-001
Date,Amount,CCY,Serial,Trn,Particulars,Code,Reference,Other Party,Origin,Type,Batch,Other Party Account
"04/04/2025","2600.00","NZD","","000","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"18/04/2025","-1240.00","NZD","","001","Rates","","","Nelson City Council","02-1234","BP","0000","02-5511"
"28/04/2025","-612.40","NZD","","002","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"02/05/2025","2600.00","NZD","","003","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"28/05/2025","-612.40","NZD","","004","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"30/05/2025","2600.00","NZD","","005","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"27/06/2025","2600.00","NZD","","006","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"28/06/2025","-612.40","NZD","","007","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"14/07/2025","-1480.00","NZD","","008","House insurance","","","Tasman Insurance","02-1234","BP","0000","02-4488"
"25/07/2025","2600.00","NZD","","009","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"28/07/2025","-612.40","NZD","","010","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"22/08/2025","2600.00","NZD","","011","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"28/08/2025","-612.40","NZD","","012","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"05/09/2025","-189.75","NZD","","013","Smoke alarm check","","","Moana Fire Safety","02-1234","BP","0000","02-4040"
"19/09/2025","2600.00","NZD","","014","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"28/09/2025","-612.40","NZD","","015","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"17/10/2025","2600.00","NZD","","016","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"24/10/2025","-1240.00","NZD","","017","Rates","","","Nelson City Council","02-1234","BP","0000","02-5511"
"28/10/2025","-612.40","NZD","","018","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"14/11/2025","2600.00","NZD","","019","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"28/11/2025","-862.50","NZD","","020","Plumbing repair","","","Kahu Plumbing","02-1234","BP","0000","02-6644"
"28/11/2025","-612.40","NZD","","021","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"12/12/2025","2600.00","NZD","","022","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"28/12/2025","-612.40","NZD","","023","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"16/01/2026","2600.00","NZD","","024","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"28/01/2026","-612.40","NZD","","025","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"13/02/2026","2600.00","NZD","","026","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"28/02/2026","-612.40","NZD","","027","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
"13/03/2026","2600.00","NZD","","028","Rent","","17 Rimu Lane","Beattie tenancy","02-1234","DC","0000","02-1199"
"20/03/2026","-517.50","NZD","","029","Gutter clean","","","Topline Roofing","02-1234","BP","0000","02-2277"
"28/03/2026","-612.40","NZD","","030","Interest","","","Kiwi Home Loans","02-1234","BP","0000","02-7788"
